1,0,0,108116622
1,0,0,108116622
1,0,0,108116622
2,0,1,108116622
2,0,1,108116622
2,0,1,108116622
2,0,1,108116622
2,0,1,108116622
3,0,1,108116622
3,0,1,108116622
3,0,1,108116622
3,0,1,108116622
3,0,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
3,1,1,108116622
5,1,1,108116622
6,1,1,108116622
10,1,1,108116622
20,1,1,108116622
33,2,1,108116622
49,2,1,108116622
52,2,2,108116622
64,2,5,108116622
111,2,8,108116622
140,2,11,108116622
142,2,12,108116622
187,5,12,108116622
202,5,19,108116622
217,8,17,108116622
230,8,18,108116622
307,13,19,108116622
380,17,25,108116622
462,17,33,108116622
552,20,35,108116622
636,26,38,108116622
707,28,45,108116622
803,31,54,108116622
1075,35,68,108116622
1418,42,71,108116622
1546,42,78,108116622
2084,49,88,108116622
2311,50,96,108116622
2633,51,107,108116622
3018,52,136,108116622
3094,57,144,108116622
3246,64,152,108116622
3660,73,163,108116622
3764,84,177,108116622
3870,96,182,108116622
4076,124,203,108116622
4195,140,221,108116622
4428,157,247,108116622
4648,197,297,108116622
4932,242,315,108116622
5223,295,335,108116622
5453,353,349,108116622
5660,435,362,108116622
5878,487,387,108116622
6087,516,397,108116622
6259,572,409,108116622
6459,613,428,108116622
6599,654,437,108116622
6710,693,446,108116622
6981,722,462,108116622
7192,762,477,108116622
7294,792,494,108116622
7579,862,501,108116622
7777,932,511,108116622
7958,975,530,108116622
8212,1023,558,108116622
8488,1043,568,108116622
8772,1084,579,108116622
8928,1124,603,108116622
9223,1214,607,108116622
9485,1315,623,108116622
9684,1408,637,108116622
10004,1506,658,108116622
10343,1618,685,108116622
10463,1734,696,108116622
10610,1842,704,108116622
10794,1924,719,108116622
11086,1999,726,108116622
11350,2106,751,108116622
11618,2251,772,108116622
11876,2337,790,108116622
12091,2460,806,108116622
12305,2561,817,108116622
12513,2635,824,108116622
12718,2729,831,108116622
12942,2843,837,108116622
13221,2932,842,108116622
13434,3000,846,108116622
13597,3092,857,108116622
13777,3177,863,108116622
14035,3249,868,108116622
14319,3323,873,108116622
14669,3412,886,108116622
15049,3506,904,108116622
15588,3598,921,108116622
16634,3720,942,108116622
