,Country,Population,Total_index,Home,Other,School,Work,Population_Density,Reproduction
65,Jordan,10101697,184300397.1,53182311.7,86098792.24,33396763.65,11622529.5,114.9,1.1
66,Kazakhstan,18551427,302251364.3,84964095.39,103202012.9,41000613.45,73084642.52,6.955,1.1
67,Kenya,52573967,1179350142,314652275,507765562.7,187126975,169805329.6,94.48,1.1
68,Kiribati,117608,2037344.446,610534.2336,919190.0448,282745.4217,224874.7463,147.5,
69,Kuwait,4207077,70390019.19,17029860.77,28597911.89,9152555.881,15609690.65,239.7,0.97
70,Kyrgyzstan,6415851,111213288.9,31527559.41,43599139.31,17987730.29,18098859.87,34.02,0.96
71,Lao People's Democratic Republi,7169456,141843039.4,37079540.85,60926417.48,24297581.08,19539499.98,31.52,
72,Latvia,1906740,23493238.41,6593015.213,7894983.512,2677382.302,6327857.381,30.33,0.98
73,Lebanon,6855708,100239862.7,31786113.99,41563729.63,15681383.67,11208635.36,667.2,0.8
74,Lesotho,2125267,41302538.17,9157061.133,17512109.94,7114190.975,7519176.124,70.56,0.38
75,Liberia,4937374,108933514.6,31873145.18,46281576.59,18617116.28,12161676.5,52.51,0.8
76,Lithuania,2759631,34302462.63,9347982.996,11814720.92,3902432.187,9237326.529,43.44,0.96
77,Luxembourg,615730,10134631.53,2108454.838,3601395.149,1537181.756,2887599.791,241.7,1.1
78,Malaysia,31949789,519493732.9,130941768.2,206937539.9,68650569.82,112963855,98.51,0.84
79,Maldives,530956,9762359.682,2278931.125,4112468.084,1245649.13,2125311.342,1802,0.94
80,Malta,440376,5157795.927,1388358.529,1904538.995,731952.0366,1132946.366,1380,1.1
81,Mauritania,4525697,95253469.73,29307456.87,40127667.98,18646355.05,7171989.846,4.511,0.77
82,Mauritius,1269670,16986784.51,4819415.664,6485018.093,2116020.83,3566329.926,626.5,0.99
83,Mexico,127575528,2098317959,614411747.8,812112059.4,306881304.2,364912848,66.33,0.95
84,Mongolia,3225166,53252719.26,14767933.67,21556991.05,7453435.354,9474359.18,2.11,0.81
85,Montenegro,627988,7817862.855,2306047.994,2857003.342,1187167.86,1467643.66,46.7,0.95
86,Morocco,36471766,560574174.6,165728108.9,227218754.4,100806267.1,66821044.26,82.7,0.9
87,Mozambique,30366043,633680384.5,175867010.2,244442468.3,106897134.1,106473771.9,39.75,0.96
88,Namibia,2494524,46907514.38,9953644.764,18765442.27,8601971.966,9586455.381,3.086,
89,Nepal,28608714,574787671.4,129718052.6,210742153.4,104566030.9,129761434.5,203.3,0.88
90,Netherlands,17097122,229050547.8,31432009.48,86439834.37,30528008.98,80650695.01,508.2,1.2
91,New Zealand,29986262,382133333.7,96883172.51,127088097.1,46476327.04,111685737.1,18.31,0.97
92,Nicaragua,6545502,114641380.1,28169764.27,45879897.48,21096107.64,19495610.69,55.05,0.97
93,Niger,23310719,534405479.1,144385809.8,208362483.3,132839668.7,48817517.22,19.11,0.76
94,Nigeria,200963603,4305803512,1300463319,1585304665,865737083.2,554298444.4,226.3,0.87
95,Oman,4974992,81694120.6,19123871.68,40414710.28,8702832.002,13452706.63,16.5,1.1
96,Pakistan,216565317,3991514475,1037683831,1712543245,811795841.5,429491557.6,286.5,1.1
97,Panama,4246440,61059521.99,15928589.03,23122644.11,9090112.455,12918176.39,58.04,0.96
98,Paraguay,7044639,118588255.9,27761193.77,45695207.91,18982293.67,26149560.59,17.95,1.1
99,Peru,32510462,513792506.8,120950440.9,184992894.9,70070173.21,137778997.8,25.76,1
100,Philippines,108116622,1851737790,458469618.1,713201765.2,340866427.3,339199979.2,367.5,1
101,Poland,37887770,510126784.8,152851676.9,169809957.2,45236436.65,142228714,123.6,1.2
102,Portugal,10226178,112639093,26810226.57,39631505.85,12751165.6,33446194.99,111.3,0.64
103,Qatar,2832071,61971005.08,10310781.56,29382650.56,3992481.737,18285091.23,248.2,0.98
104,Republic of Korea,51225320,639764892.7,157060029.7,233106009.4,84061967.26,165536886.4,527.3,
105,Romania,19364558,219317951,59872472.92,81746460.74,25348338.25,52350679.09,83.58,1
106,Russian Federation,145872257,1804587088,470156794.6,624787877.8,198136455.8,511505960.2,8.911,0.93
107,Rwanda,12626936,249883096.7,65256274.54,95802579.44,41254090.16,47570152.54,525,0.77
108,Saint Lucia,182794,2730730.893,702062.6873,1012633.474,361353.6005,654681.1314,301,
109,Sao Tome and Principe ,215048,3739365.108,1106947.122,1773435.981,717593.865,141388.1402,228.3,0.96
110,Saudi Arabia,34268529,517535345.9,133347870.7,212063859.8,80895616.71,91227998.75,16.2,1.1
111,Senegal,16296361,346341842.6,112752609.5,128342942.6,69982245.16,35264045.33,86.97,0.92
112,Serbia,8772228,102427546.1,28906382.29,36293882.87,13537552.77,23689728.22,99.9,1.2
113,Seychelles,97741,1357665.532,386347.2482,469830.5678,168772.5563,332715.1597,213.8,1.2
114,Sierra Leone,7813207,167342422.1,50156347.37,61869353.22,31331628.98,23985092.57,110.5,0.49
115,Singapore,5804342,77352191.56,17734308.75,27314711,8815380.335,23487791.48,8358,0.75
116,Slovakia,5457012,70098631.43,17903811.48,24201711.47,9234159.073,18758949.41,113.5,1
117,Slovenia,2078654,23069719.69,5838254.578,8281699.483,2497289.451,6452476.182,103.2,0.93
118,Solomon Islands,669821,12823404.72,3770068.2,4968341.546,2637527.492,1447467.484,24.54,
119,South Africa,58558267,951750281.6,272054673.3,357014889.2,165185088.7,157495630.4,48.89,0.97
120,Spain,46736782,524952652.1,132527489.1,183074182.9,55496617.38,153854362.8,93.74,0.65
121,Sri Lanka,21323734,298489677.6,87745526.95,113615531.4,53234727.27,43893891.98,341.5,0.73
122,Suriname,581363,8464682.853,2450678.64,3240785.482,1102139.951,1671078.78,3.76,0.6
123,Sweden,10036391,118485804.1,27598782.3,37937074.45,13592940.61,39357006.7,24.61,1.1
124,Switzerland,8591361,107739829.7,24283945.05,34049402.38,14683048.54,34723433.74,219,0.82
125,Syrian Arab Republic,17070132,267072642.8,71231106.47,117763691,52075849.57,26001995.77,95.3,1
126,Tajikistan,9321023,168704145,46313829.29,65564971.83,32519041.25,24306302.58,68.15,0.024
127,TFYR of Macedonia,2083458,26691673.48,7325088.779,9569656.326,3699867.725,6097060.645,83,
128,Thailand,69625581,962797718.9,241567052.7,329616872.5,102917568.7,288696225.1,136.6,0.39
129,Timor-Leste,1293119,24210055.59,7828690.776,9842135.302,4565037.428,1974192.082,88.67,0.85
130,Tonga,104497,1666383.621,427767.8978,730516.7393,413327.1609,94771.82281,146.8,1.1
131,Tunisia,11694719,156422961.4,44808445.4,63496960.83,27977661.79,20139893.38,76.07,0.88
132,Turkey,83429607,1154422909,342053733.1,448091534.8,205490167,158787473.9,109.6,1.1
133,Uganda,44269587,1079573407,282055760.4,402731301.9,213626337.6,181160007.3,228.9,0.94
134,Ukraine,43993643,539674799.5,142547664.2,186640920.5,73645649.86,136840565,75.49,1.2
135,United Arab Emirates,9770526,191691831.5,36777929.7,93621937.79,13652072.24,47639891.76,118.3,0.99
136,United Kingdom of Great Britain,67530161,610213358.6,136845778.2,230275677.6,69388065,173703837.8,280.6,0.95
137,United States of America,329064917,3970302198,1004159914,1359160843,566740320.4,1040241121,36.19,0.83
138,Uruguay,3461731,45448345.82,12022385.75,15058777.82,5871173.672,12496008.58,19.85,1
139,Uzbekistan,32981715,507343796.6,141064071.4,229680176.6,101205851.2,35393697.42,78.68,0.82
140,Vanuatu,299882,5516121.578,1531424.913,2243868.603,916454.0662,824373.9958,25.2,
141,Venezuela (Bolivarian Republic ,28515828,424113171.4,129701314.9,163232086.6,40080928.7,91098841.23,32.24,0.94
142,Viet Nam,96462107,1521169928,381002745.9,500521282.5,178337491.3,461308408.3,313.9,0.47
143,Yemen,29161922,548739652.1,142006962.2,252457843.4,125123002.2,29151844.29,56.49,1.1
144,Zambia,17861034,406026539.6,101463560.4,161843933.4,77988050.1,64730995.75,24.73,0.82
145,Zimbabwe,14645472,315784499.1,81043065.64,130543134.2,59879698.4,44318600.85,38.42,1.5
