,District Name,Kpar1,Kpar2,Kpar3,Kpar4,Kpar5,Population
0,AP_Anantapuram,0.12631967,0.19458323,0.20582303,0.001022292,0.000886451,4083315
1,AP_Guntur,0.096631242,0.133225,0.14759831,0.001067412,0.002730038,4889230
2,AP_Krishna,0.11766607,0.14546332,0.26192307,0.001746257,0.000610411,4529009
3,AP_Kurnool,0.078113309,0.1415917,0.073303421,0.000668961,0.003767178,4046601
4,AP_Srikakulam,0.11016228,0.15302545,0.20777925,0.000962645,0.00126115,2699471
5,AP_S_P_S__Nellore,0.082990535,0.1303195,0.097371947,0.001056696,0.004335741,2966082
6,AP_Vishakhapatnam,0.089115809,0.1174903,0.12921354,0.000836453,0.003731272,4288113
7,AP_Vizianagaram,0.085497544,0.13835184,0.11690688,0.000440659,0.00177116,2342868
8,AP_West_Godavari,0.083813127,0.13201747,0.099057954,0.000795639,0.001471279,3934782
9,AP_YSR District,0.11208689,0.1694246,0.22215117,0.001005401,0.000648876,2884524
10,AR_Changlang,0.15594348,0.12351771,0.099604033,0.002029823,0.000508282,147951
11,AR_Papum Pare,0.063791091,0.12033269,0.17721231,0.000497162,0.000618763,176385
12,AR_West_Kameng,0.10083539,0.12510902,0.45524449,0.002288168,0.001982179,87013
13,BR_Araria,0.12003566,0.11811958,0.38322044,0.000588142,0.000326337,2806200
14,BR_Arwal,0.079192286,0.079130355,0.037544116,0.00126886,0.000680087,700843
15,BR_Banka,0.093464013,0.095000546,0.053795474,0.00138024,0.0005457,2029339
16,BR_Bhagalpur,0.115274,0.12514283,0.060407967,0.00194133,0.002120117,3032226
17,BR_Bhojpur,0.14945336,0.12725537,0.15540666,0.002096873,0.001165891,2720155
18,BR_Darbhanga,0.083858475,0.077537189,0.038466837,0.002164922,0.001483581,3921971
19,BR_East_Champaran,0.10230468,0.090032745,0.1309882,0.001122896,0.002762803,5082868
20,BR_Gopalganj,0.12005394,0.12672582,0.11200941,0.001075249,0.000912511,2558037
21,BR_Jamui,0.10215785,0.11947135,0.025297073,0.001152643,0.000977335,1756078
22,BR_Jehanabad,0.090983852,0.086038076,0.093041317,0.000756172,0.000951976,1124176
23,BR_Katihar,0.12238774,0.10521366,0.36258226,0.000534338,0.001012174,3068149
24,BR_Kishanganj,0.10312553,0.22934247,0.007450424,0.001762991,0.003760387,1690948
25,BR_Lakhisarai,0.10500804,0.10848555,0.12709912,0.000957051,0.00050787,1000717
26,BR_Madhepura,0.10548445,0.1037105,0.1155476,0.001054072,0.000685499,1994618
27,BR_Madhubani,0.10662768,0.11440753,0.023534893,0.000968183,0.007520979,4476044
28,BR_Munger,0.1352133,0.13067662,0.18885683,0.002949168,0.001088305,1359054
29,BR_Nalanda,0.10078037,0.092336508,0.066110239,0.001414536,0.001549105,2872523
30,BR_Nawada,0.11475591,0.12024349,0.11539073,0.001650356,0.000509438,2216653
31,BR_Patna,0.1161683,0.13009476,0.29807358,0.001050393,0.001377455,5772804
32,BR_Purnia,0.12422343,0.1295821,0.15958964,0.000708434,0.000846265,3273127
33,BR_Rohtas,0.11306528,0.090622243,0.13990745,0.001240078,0.001137721,2962593
34,BR_Saharsa,0.10603587,0.10583176,0.532119,0.000655166,0.000172243,1897102
35,BR_Samastipur,0.098430912,0.079033379,0.046286655,0.002075783,0.002934228,4254782
36,BR_Saran,0.097759951,0.082082029,0.11293937,0.001555238,0.001499387,3943098
37,BR_Sheikhpura,0.077282808,0.07356056,0.044146519,0.000742988,0.000592758,634927
38,BR_Sitamarhi,0.11567601,0.10267189,0.2982138,0.000743327,0.000285529,3419622
39,BR_Siwan,0.12365079,0.12175084,0.23357598,0.001577029,0.000295382,3318176
40,BR_Supaul,0.11725808,0.12370115,0.10704234,0.001116856,0.000735822,2228397
41,BR_Vaishali,0.12475224,0.10108781,0.29774759,0.001331735,0.000606061,3495021
42,CH_Chandigarh,0.092447901,0.12770277,0.16189386,0.001651527,0.001174082,1055450
43,CT_Balod,0.091493554,0.10740489,0.216142,0.002435391,0.000332701,826165
44,CT_Baloda_Bazar,0.16092204,0.21048991,0.17668301,0.008175218,0.000696511,1305343
45,CT_Bametara,0.085560271,0.11679613,0.19595692,0.002483124,0.000215376,197035
46,CT_Bijapur,0.11848133,0.14469673,0.23641836,0.004516633,0.000214187,229832
47,CT_Dakshin_Bastar_Dantewada,0.14042058,0.13836854,0.13532984,0.000716842,0.001003229,533638
48,CT_Dhamtari,0.09805814,0.11800559,0.075590199,0.004812223,0.000969518,799199
49,CT_Durg,0.10986226,0.14926886,0.13977967,0.003657961,0.001892326,3343079
50,CT_Janjgir_Champa,0.11808572,0.14590696,0.44393495,0.002871731,0.000421126,1620632
51,CT_Jashpur,0.082623236,0.092924517,0.057133542,0.001808523,0.000586521,852043
52,CT_Kabeerdham,0.11439336,0.25913266,13.732786,0.002865617,6.35E-06,584667
53,CT_Kondagaon,0.13091301,0.16030702,0.14845843,0.001824889,0.001266339,578326
54,CT_Korba,0.099388659,0.12800333,0.18225917,0.001572358,0.00102323,1206563
55,CT_Mahasamund,0.078199447,0.092977658,0.15758799,0.005815813,0.000300717,1032275
56,CT_Mungeli,0.11709842,0.17905116,0.049088609,0.001939492,0.000703294,701707
