Population,name
126882,Hathras
126475,Lalitpur
126441,Kolar
124988,Mandsaur
124897,Gondia
124168,Rajapalaiyam
123797,Darjiling
123484,Mohali
123294,Palanpur
122719,Dam Dam
122635,Hardoi
122533,Puruliya
122155,Dibrugarh
121965,Palwal
121826,Nalgonda
121662,Bhadreswar
121610,Vejalpur
121484,Chikmagalur
121278,Raigarh
120964,Guntakal Junction
120115,Gangapur
120000,Deoli
119181,Siwan
118776,Damoh
118526,Adilabad
118299,Chicacole
118259,Uppal Kalan
118068,Jetpur
118022,Morbi
117863,Patan
117137,Khanna
117053,Botad
117014,Rishra
116644,Azamgarh
116447,Yelahanka
116161,Gudivada
115504,Baidyabati
115115,Basti
114321,Balasore
114050,Dharmavaram
113840,Maler Kotla
113759,Wardha
113193,Jhunjhunun
112793,Satara
112635,Chanduasi
112144,Mothihari
112141,Chas
112118,Pudukkottai
112079,Rewari
112050,Port Blair
111729,Suriapet
111693,Bangaon
111594,Chhatarpur
111475,Ashoknagar Kalyangarh
111278,Achalpur
111123,Navadwip
110983,Barsi
