Country,Code,Date,Percent
India,IND,18-08-2020,-11.857
India,IND,19-08-2020,-11.143
India,IND,20-08-2020,-10.857
India,IND,21-08-2020,-10.571
India,IND,22-08-2020,-10.429
India,IND,23-08-2020,-10.571
India,IND,24-08-2020,-10.286
India,IND,25-08-2020,-10.143
India,IND,26-08-2020,-10
India,IND,27-08-2020,-10
India,IND,28-08-2020,-10.143
India,IND,29-08-2020,-9.286
India,IND,30-08-2020,-8.571
India,IND,31-08-2020,-9.286
India,IND,01-09-2020,-9.143
India,IND,02-09-2020,-9
India,IND,03-09-2020,-8.143
India,IND,04-09-2020,-7.714
India,IND,05-09-2020,-6.571
India,IND,06-09-2020,-5.143
India,IND,07-09-2020,-4.857
India,IND,08-09-2020,-4.286
India,IND,09-09-2020,-4.143
India,IND,10-09-2020,-4
India,IND,11-09-2020,-5.143
India,IND,12-09-2020,-5.286
India,IND,13-09-2020,-5.143
India,IND,14-09-2020,-4.857
India,IND,15-09-2020,-5.429
India,IND,16-09-2020,-5.286
India,IND,17-09-2020,-6.286
India,IND,18-09-2020,-5.571
India,IND,19-09-2020,-5.714
India,IND,20-09-2020,-5.714
India,IND,21-09-2020,-6
India,IND,22-09-2020,-6.143
India,IND,23-09-2020,-6.714
India,IND,24-09-2020,-6
India,IND,25-09-2020,-6.286
India,IND,26-09-2020,-6
India,IND,27-09-2020,-5.571
India,IND,28-09-2020,-5.143
India,IND,29-09-2020,-4.857
India,IND,30-09-2020,-4
India,IND,01-10-2020,-3
India,IND,02-10-2020,-1.286
India,IND,03-10-2020,-0.429
India,IND,04-10-2020,0.429
India,IND,05-10-2020,1.286
India,IND,06-10-2020,2.143
India,IND,07-10-2020,2.857
India,IND,08-10-2020,3.286
India,IND,09-10-2020,3.286
India,IND,10-10-2020,3.429
India,IND,11-10-2020,3.714
India,IND,12-10-2020,3.857
India,IND,13-10-2020,3.857
India,IND,14-10-2020,4.143
India,IND,15-10-2020,4.714
India,IND,16-10-2020,6.286
India,IND,17-10-2020,7.143
India,IND,18-10-2020,7.714
India,IND,19-10-2020,8.429
India,IND,20-10-2020,9
India,IND,21-10-2020,9.429
India,IND,22-10-2020,9.714
India,IND,23-10-2020,9.714
India,IND,24-10-2020,10.286
India,IND,25-10-2020,10.429
India,IND,26-10-2020,10.143
India,IND,27-10-2020,10.286
India,IND,28-10-2020,10
India,IND,29-10-2020,9.429
India,IND,30-10-2020,8.429
India,IND,31-10-2020,7.143
India,IND,01-11-2020,7.143
India,IND,02-11-2020,7.429
India,IND,03-11-2020,8
India,IND,04-11-2020,8.143
India,IND,05-11-2020,8.286
India,IND,06-11-2020,8.429
India,IND,07-11-2020,9.429
India,IND,08-11-2020,10.143
India,IND,09-11-2020,10.571
India,IND,10-11-2020,10.857
India,IND,11-11-2020,12.286
India,IND,12-11-2020,15.143
India,IND,13-11-2020,19.143
India,IND,14-11-2020,19.286
India,IND,15-11-2020,16.857
India,IND,16-11-2020,15.429
India,IND,17-11-2020,14.571
India,IND,18-11-2020,13.286
India,IND,19-11-2020,10.857
India,IND,20-11-2020,7
India,IND,21-11-2020,6.286
India,IND,22-11-2020,8
India,IND,23-11-2020,9.143
India,IND,24-11-2020,9.429
India,IND,25-11-2020,9.143
India,IND,26-11-2020,7.571
India,IND,27-11-2020,7.286
India,IND,28-11-2020,7.714
India,IND,29-11-2020,7.857
India,IND,30-11-2020,7.571
India,IND,01-12-2020,7.571
India,IND,02-12-2020,7.857
India,IND,03-12-2020,9
India,IND,04-12-2020,9.143
India,IND,05-12-2020,9.143
India,IND,06-12-2020,9.286
India,IND,07-12-2020,9.429
