Age,M,F
0-4,575136,572175
5-9,530418,529093
10-14,488185,486872
15-19,427905,425511
20-24,369353,366948
25-29,321093,314932
30-34,274274,265064
35-39,228827,219804
40-44,183254,177404
45-49,145149,144789
50-54,112075,116504
55-59,84050,92535
60-64,60244,71301
65-69,42319,53822
70-74,29036,38256
75-79,16531,23313
80-84,7355,11180
85-89,2462,4080
90-94,584,1068
95-99,95,194
100+,5,12
