Age,M,F
0-4,5538,5393
5-9,5539,5396
10-14,5776,5645
15-19,6891,6847
20-24,8151,8164
25-29,8313,8314
30-34,6872,7214
35-39,6795,7222
40-44,6242,6537
45-49,6043,6618
50-54,5980,6289
55-59,5151,5518
60-64,3820,4181
65-69,2921,2995
70-74,2228,2495
75-79,1598,1774
80-84,1156,1179
85-89,582,632
90-94,299,289
95-99,103,64
100+,23,7
