Age,M,F
0-4,1004380,951913
5-9,996498,945594
10-14,972323,923182
15-19,922579,882288
20-24,989581,948415
25-29,1091466,1045920
30-34,1090879,1092982
35-39,1035401,1047829
40-44,938345,959961
45-49,975556,1007203
50-54,916875,949531
55-59,914312,940242
60-64,812337,852981
65-69,708505,742620
70-74,609447,641876
75-79,412946,450622
80-84,273140,323938
85-89,155105,219748
90-94,65821,115935
95-99,15980,37266
100+,997,3743
