Age,M,F
0-4,15963,15593
5-9,15417,15092
10-14,14427,14143
15-19,12142,11896
20-24,9106,8893
25-29,7548,7378
30-34,7107,6977
35-39,6287,6161
40-44,5256,5297
45-49,3683,3771
50-54,3532,3668
55-59,2441,2769
60-64,1958,2179
65-69,1169,1409
70-74,775,884
75-79,421,602
80-84,275,463
85-89,76,177
90-94,24,75
95-99,4,9
100+,0,1
