Age,M,F
0-4,88664,85408
5-9,77981,75183
10-14,78680,76313
15-19,76433,74415
20-24,64694,62832
25-29,56492,55150
30-34,43294,42457
35-39,32622,31813
40-44,23285,23191
45-49,27812,26798
50-54,23918,22994
55-59,19669,19181
60-64,14195,14218
65-69,9598,10043
70-74,8419,9388
75-79,4713,5828
80-84,2201,3061
85-89,647,1004
90-94,164,290
95-99,24,44
100+,1,2
