Age,M,F
0-4,295510,282054
5-9,293462,280169
10-14,296709,285393
15-19,303120,300067
20-24,313830,326242
25-29,269280,301345
30-34,207848,254011
35-39,176623,228325
40-44,164110,215038
45-49,145709,193143
50-54,127511,171107
55-59,110236,149354
60-64,91177,125577
65-69,74688,105592
70-74,57052,78948
75-79,45315,61525
80-84,31035,41300
85-89,14730,21334
90-94,4460,7579
95-99,901,1929
100+,47,165
