Age,M,F
0-4,16777,15873
5-9,17538,16412
10-14,16164,15228
15-19,17711,16589
20-24,18494,16653
25-29,18360,16650
30-34,20644,17986
35-39,20450,17684
40-44,18353,16743
45-49,16213,15505
50-54,13780,13284
55-59,11170,10186
60-64,8330,7947
65-69,5124,5262
70-74,2680,2933
75-79,1607,1585
80-84,955,1168
85-89,435,475
90-94,157,124
95-99,36,26
100+,4,1
