Age,M,F
0-4,26652,25927
5-9,26798,26060
10-14,25584,25197
15-19,24548,24338
20-24,24219,23321
25-29,27252,25601
30-34,27248,24274
35-39,23140,20583
40-44,18101,15989
45-49,15034,13172
50-54,12088,12801
55-59,9897,11759
60-64,6251,8261
65-69,4042,5931
70-74,1409,2968
75-79,1516,3134
80-84,1422,2671
85-89,652,1465
90-94,161,398
95-99,21,46
100+,1,4
