Age,M,F
0-4,3744,3636
5-9,3616,3514
10-14,3444,3370
15-19,3625,3546
20-24,3832,3765
25-29,3592,3668
30-34,3353,3704
35-39,3297,3725
40-44,3204,3724
45-49,3186,3780
50-54,3134,3600
55-59,2700,3136
60-64,2068,2360
65-69,1513,1724
70-74,1113,1275
75-79,702,815
80-84,402,496
85-89,216,300
90-94,83,105
95-99,24,20
100+,3,1
